Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
CB,Xavier Rhodes,NFC,MIN,26,3,14,14,0,0,0,0,0,0,0,0,0,0,0,44,0,5,
CB,Richard Sherman,NFC,SEA,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,38,0,4,
SS,Landon Collins,NFC,NYG,22,1,16,16,0,0,0,0,0,0,0,0,0,0,0,100,4,5,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
SS,Eric Berry%,AFC,KAN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,62,0,4,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
SS,Darian Stewart,AFC,DEN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,55,0,3,
FS,Devin McCourty%,AFC,NWE,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,64,0,1,"AP: 2nd Tm, PFF: 2nd Tm"
FS,Harrison Smith,NFC,MIN,27,4,14,14,0,0,0,0,0,0,0,0,0,0,0,69,2,0,
FS,Reggie Nelson,AFC,OAK,33,9,16,16,0,0,0,0,0,0,0,0,0,0,0,50,0,5,
LS,Jake McQuaide,NFC,LAR,29,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LS,Morgan Cox,AFC,BAL,30,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S,Eric Weddle,AFC,BAL,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,48,1,4,PFF: 1st Tm
S,Ha Ha Clinton-Dix,NFC,GNB,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,61,0.5,5,AP: 2nd Tm
RS,Cordarrelle Patterson,NFC,MIN,25,3,16,8,0,0,0,0,0,7,43,0,52,453,2,0,0,0,"AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
K,Justin Tucker,AFC,BAL,27,4,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
K,Matt Bryant%,NFC,ATL,41,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
K,Matt Prater,NFC,DET,32,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P,Johnny Hekker,NFC,LAR,26,4,16,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm"
P,Pat McAfee%,AFC,IND,29,7,16,0,1,1,35,0,0,1,0,0,0,0,0,0,0,0,"PFF: 1st Tm, SN: 1st Tm"
P,Dustin Colquitt,AFC,KAN,34,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ST,Matthew Slater%,AFC,NWE,31,8,13,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,"AP: 1st Tm, FW: 1st Tm"
ST,D.J. Alexander,AFC,KAN,25,1,16,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
ST,Dwayne Harris,NFC,NYG,29,5,16,1,0,0,0,0,0,0,0,0,1,13,1,1,0,0,
