Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
80,2012,Danny Trevathan,OLB,42,Kentucky,College Stats,Jun-00,6'1,237,4.84,31.5,18,111,,,Denver Broncos / 6th / 188th pick / 2012
81,2012,Nathan Stupar,OLB,9,Penn State,College Stats,2-Jun,6'2,241,4.65,31,21,116,6.84,4.28,Oakland Raiders / 7th / 230th pick / 2012
82,2012,Sean Spence,OLB,13,Miami (FL),College Stats,11-May,5'11,231,4.66,33.5,12,119,7.46,4.28,Pittsburgh Steelers / 3rd / 86th pick / 2012
83,2012,Shea McClellin,OLB,18,Boise State,College Stats,3-Jun,6'3,260,4.62,31.5,19,118,7.07,4.33,Chicago Bears / 1st / 19th pick / 2012
84,2012,Jonathan Massaquoi,OLB,6,Troy,College Stats,2-Jun,6'2,264,4.81,33.5,20,120,7.38,4.53,Atlanta Falcons / 5th / 164th pick / 2012
85,2012,Brandon Marshall,OLB,32,Nevada,College Stats,1-Jun,6'1,242,4.72,30.5,28,108,7.05,4.09,Jacksonville Jaguars / 5th / 142nd pick / 2012
86,2012,Terrell Manning,OLB,0,North Carolina State,College Stats,2-Jun,6'2,237,4.71,32.5,22,114,7.18,4.43,Green Bay Packers / 5th / 163rd pick / 2012
87,2012,Travis Lewis,OLB,4,Oklahoma,College Stats,1-Jun,6'1,246,4.83,36,22,122,,,Detroit Lions / 7th / 223rd pick / 2012
88,2012,Ronnell Lewis,OLB,0,Oklahoma,College Stats,2-Jun,6'2,253,4.65,31,36,112,7.09,4.4,Detroit Lions / 4th / 125th pick / 2012
89,2012,Josh Kaddu,OLB,0,Oregon,College Stats,3-Jun,6'3,239,4.67,34,20,119,,,Miami Dolphins / 5th / 155th pick / 2012
90,2012,Steven Johnson,OLB,8,Kansas,College Stats,Jun-00,6'1,239,4.71,36,16,113,7.32,4.38,
91,2012,Bruce Irvin,OLB,43,West Virginia,College Stats,3-Jun,6'3,245,4.41,33.5,23,123,6.7,4.03,Seattle Seahawks / 1st / 15th pick / 2012
92,2012,Melvin Ingram,OLB,47,South Carolina,College Stats,1-Jun,6'1,264,4.69,34.5,28,109,6.83,4.18,San Diego Chargers / 1st / 18th pick / 2012
93,2012,Darius Fleming,OLB,1,Notre Dame,College Stats,2-Jun,6'2,245,4.71,33.5,27,114,7.03,4.28,San Francisco 49ers / 5th / 165th pick / 2012
94,2012,Lavonte David,OLB,65,Nebraska,College Stats,1-Jun,6'1,233,4.57,36.5,19,119,7.28,4.22,Tampa Bay Buccaneers / 2nd / 58th pick / 2012
95,2012,Demario Davis,OLB,52,Arkansas State,College Stats,2-Jun,6'2,235,4.49,38.5,32,124,7.19,4.28,New York Jets / 3rd / 77th pick / 2012
96,2012,Miles Burris,OLB,14,San Diego State,College Stats,2-Jun,6'2,246,4.67,37.5,31,121,,,Oakland Raiders / 4th / 129th pick / 2012
97,2012,Zach Brown,OLB,42,North Carolina,College Stats,1-Jun,6'1,244,4.44,33.5,,116,,,Tennessee Titans / 2nd / 52nd pick / 2012
